Prop_diam(inch) X_position(mm) Y_position(mm) Torque(Nm) Thrust(N) Omega(rad/s) Airspeed(m/s) AoA(deg) AoSS(deg) V_tan(m/s) V_rad(m/s) V_axial(m/s)
20.2 159 1 0.157 6.075 212.06 7.35 18.84 -2.97 2.37 -0.36 6.95
20.2 162 1 0.157 6.075 212.13 7.45 19.35 -5.76 2.47 -0.71 6.99
20.2 165 1 0.157 6.075 212.03 7.41 18.53 -4.70 2.35 -0.58 7.00
20.2 168 1 0.157 6.073 212.10 7.32 17.13 -3.50 2.16 -0.43 6.98
20.2 171 1 0.157 6.076 212.09 7.37 19.30 -2.89 2.44 -0.35 6.95
20.2 174 1 0.157 6.077 212.11 7.47 18.90 -3.22 2.42 -0.40 7.06
20.2 177 1 0.157 6.077 212.16 7.56 17.98 -3.80 2.33 -0.48 7.17
20.2 180 1 0.157 6.078 212.16 7.64 18.06 -3.40 2.37 -0.43 7.25
20.2 183 1 0.157 6.077 212.21 7.49 20.86 -2.32 2.67 -0.28 6.99
20.2 186 1 0.157 6.078 212.21 7.29 18.52 -2.25 2.32 -0.27 6.91
20.2 189 1 0.157 6.079 212.22 6.87 16.71 1.92 1.98 0.22 6.58
20.2 192 1 0.157 6.079 212.08 5.77 15.62 4.74 1.55 0.46 5.54
20.2 195 1 0.157 6.08 212.21 5.19 4.98 -0.66 0.45 -0.06 5.17
20.2 198 1 0.157 6.082 212.25 5.57 11.91 4.08 1.15 0.39 5.44
20.2 201 1 0.157 6.081 212.15 3.64 10.32 7.12 0.65 0.44 3.55
20.2 204 1 0.157 6.081 212.21 0.00 0.00 0.00 0.00 0.00 0.00
20.2 207 1 0.157 6.081 212.37 0.00 0.00 0.00 0.00 0.00 0.00
20.2 210 1 0.157 6.082 212.32 0.00 0.00 0.00 0.00 0.00 0.00
20.2 213 1 0.157 6.084 212.32 0.00 0.00 0.00 0.00 0.00 0.00
20.2 216 1 0.157 6.084 212.12 0.00 0.00 0.00 0.00 0.00 0.00
20.2 219 1 0.157 6.085 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 222 1 0.157 6.085 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 225 1 0.157 6.086 212.16 0.00 0.00 0.00 0.00 0.00 0.00
20.2 228 1 0.156 6.084 211.98 0.00 0.00 0.00 0.00 0.00 0.00
20.2 231 1 0.157 6.08 212.20 0.00 0.00 0.00 0.00 0.00 0.00
20.2 234 1 0.157 6.077 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 237 1 0.157 6.076 212.21 0.00 0.00 0.00 0.00 0.00 0.00
20.2 240 1 0.157 6.075 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 243 1 0.157 6.075 212.24 0.00 0.00 0.00 0.00 0.00 0.00
20.2 246 1 0.157 6.074 212.14 0.00 0.00 0.00 0.00 0.00 0.00
20.2 249 1 0.157 6.078 212.27 0.00 0.00 0.00 0.00 0.00 0.00
20.2 252 1 0.157 6.08 212.21 0.00 0.00 0.00 0.00 0.00 0.00
20.2 255 1 0.157 6.081 212.00 0.00 0.00 0.00 0.00 0.00 0.00
20.2 258 1 0.157 6.082 211.95 0.00 0.00 0.00 0.00 0.00 0.00
